Horizon,Index,Model,Date,Actual,Predicted,SquaredError,AbsoluteError,QLIKE_Loss
5day,^GSPC,GARCHGRU,2023-11-28,0.0942942990427429,0.1179252341389656,0.0005584210935218898,0.023630935096222702,-1.3380935945104413
5day,^GSPC,GARCHGRU,2023-11-29,0.0964892996824185,0.1143298968672752,0.00031828690791231676,0.0178405971848567,-1.3247120762763616
5day,^GSPC,GARCHGRU,2023-11-30,0.0986227303916831,0.1112065911293029,0.00015835355106380916,0.0125838607376198,-1.3095231342868674
5day,^GSPC,GARCHGRU,2023-12-01,0.0987628755946718,0.1069887951016426,6.766575173516268e-05,0.008225919506970797,-1.3119169724610413
5day,^GSPC,GARCHGRU,2023-12-04,0.0917669238487526,0.1077934652566909,0.00025685002950036096,0.0160265414079383,-1.376216469518154
5day,^GSPC,GARCHGRU,2023-12-05,0.0803591314870637,0.1046652197837829,0.0005907859282879104,0.024306088296719208,-1.489215389336118
5day,^GSPC,GARCHGRU,2023-12-06,0.0880335925921292,0.1002722755074501,0.00014978535950176775,0.012238682915320903,-1.421920542533924
5day,^GSPC,GARCHGRU,2023-12-07,0.0674901441629798,0.0977085977792739,0.0009131549389601183,0.030218453616294105,-1.6350369048867437
5day,^GSPC,GARCHGRU,2023-12-08,0.0679083147077856,0.095883272588253,0.0007825982684139245,0.027974957880467388,-1.6363843038742587
5day,^GSPC,GARCHGRU,2023-12-11,0.0682869436614141,0.0946187004446983,0.0006933614152940334,0.0263317567832842,-1.6361935109259496
5day,^GSPC,GARCHGRU,2023-12-12,0.069225643053157,0.0920334234833717,0.0005201948481528851,0.02280778043021471,-1.6334240931094484
5day,^GSPC,GARCHGRU,2023-12-13,0.0884580566774769,0.0906270667910575,4.704604872814937e-06,0.0021690101135806023,-1.4249357189751684
5day,^GSPC,GARCHGRU,2023-12-14,0.0922864514701784,0.0909312292933464,1.8366271485772556e-06,0.0013552221768319966,-1.382747965683236
5day,^GSPC,GARCHGRU,2023-12-15,0.0920158760809945,0.0884748995304107,1.253851493178436e-05,0.003540976550583802,-1.3850140026577011
5day,^GSPC,GARCHGRU,2023-12-18,0.0920158760809945,0.0888405740261077,1.00825431397683e-05,0.0031753020548867944,-1.3851702434572304
5day,^GSPC,GARCHGRU,2023-12-19,0.0922019026923199,0.0864893719553947,3.263300742031511e-05,0.005712530736925195,-1.38168480712116
5day,^GSPC,GARCHGRU,2023-12-20,0.09112106421893,0.0936791896820068,6.544005884841859e-06,0.0025581254630767936,-1.3951865066628795
5day,^GSPC,GARCHGRU,2023-12-21,0.091246482963169,0.0968295708298683,3.1170870127284896e-05,0.005583087866699296,-1.3924617612563082
5day,^GSPC,GARCHGRU,2023-12-22,0.0922493481348349,0.1016831248998642,8.899614405240659e-05,0.009433776765029295,-1.378670147741778
5day,^GSPC,GARCHGRU,2023-12-25,0.0957183085319068,0.1042985692620277,7.362087419685486e-05,0.0085802607301209,-1.3427639666347724
5day,^GSPC,GARCHGRU,2023-12-26,0.0999635013202958,0.1044064983725547,1.9740222806381235e-05,0.004442997052258896,-1.3020181547312468
5day,^GSPC,GARCHGRU,2023-12-27,0.0986292374598225,0.1031431928277015,2.0375793063203684e-05,0.004513955367879005,-1.3154010023700553
5day,^GSPC,GARCHGRU,2023-12-28,0.0984560087651969,0.1045732796192169,3.74210027014426e-05,0.006117270854020002,-1.3163646692498976
5day,^GSPC,GARCHGRU,2023-12-29,0.1055582957358866,0.107472538948059,3.6643270753481105e-06,0.0019142432121724007,-1.2483313792630013
5day,^GSPC,GARCHGRU,2024-01-02,0.1041016480256785,0.1139802262187004,9.758630711564761e-05,0.009878578193021889,-1.258399527673598
5day,^GSPC,GARCHGRU,2024-01-03,0.1046711200238628,0.122272677719593,0.0003098148333161195,0.017601557695730213,-1.2454549833165671
5day,^GSPC,GARCHGRU,2024-01-04,0.1046749764816102,0.1218216270208358,0.00029400762471432535,0.017146650539225594,-1.245949483554475
5day,^GSPC,GARCHGRU,2024-01-05,0.1041318518787049,0.1189629808068275,0.0002199623852825952,0.014831128928122606,-1.2536130385408888
5day,^GSPC,GARCHGRU,2024-01-08,0.094746829405721,0.1123686656355857,0.0003105291121121721,0.0176218362298647,-1.3427917762958521
5day,^GSPC,GARCHGRU,2024-01-09,0.0956617644889346,0.1114989072084426,0.0002508150895180655,0.015837142719508007,-1.335779035480574
5day,^GSPC,GARCHGRU,2024-01-10,0.0978485385605673,0.1104370504617691,0.00015847063188669948,0.012588511901201804,-1.3172977207063283
5day,^GSPC,GARCHGRU,2024-01-11,0.101104766011938,0.1131482869386673,0.0001450463963125664,0.012043520926729293,-1.285496199342179
5day,^GSPC,GARCHGRU,2024-01-12,0.1073663722299215,0.1136725023388862,3.976727695119121e-05,0.006306130108964705,-1.2299100538127057
5day,^GSPC,GARCHGRU,2024-01-15,0.0923376411820394,0.1145700439810752,0.0004942797342185752,0.022232402799035808,-1.3606196537742417
5day,^GSPC,GARCHGRU,2024-01-16,0.0871399858681977,0.1173030734062194,0.0009098118498263601,0.0301630875380217,-1.4001324063770864
5day,^GSPC,GARCHGRU,2024-01-17,0.0871236940091386,0.1252570003271103,0.0014541490507402602,0.038133306317971696,-1.3818281697816759
5day,^GSPC,GARCHGRU,2024-01-18,0.0881494459880407,0.1144918873906135,0.0006939242190479817,0.026342441402572803,-1.3973326032282207
5day,^GSPC,GARCHGRU,2024-01-19,0.0877627388055627,0.1085633710026741,0.0004326662997995073,0.020800632197111396,-1.412020201610165
5day,^GSPC,GARCHGRU,2024-01-22,0.0904300696788066,0.1079753339290618,0.0003078362976112835,0.01754526425025521,-1.3883457297161748
5day,^GSPC,GARCHGRU,2024-01-23,0.0906184550047198,0.1053204089403152,0.0002161474495243694,0.01470195393559541,-1.3903407015797775
5day,^GSPC,GARCHGRU,2024-01-24,0.1077398394664602,0.1009984090924263,4.544688348794677e-05,0.006741430374033894,-1.225902627055244
5day,^GSPC,GARCHGRU,2024-01-25,0.112166456238202,0.1020883098244667,0.00010156903513668553,0.010078146413735292,-1.1831971706409767
5day,^GSPC,GARCHGRU,2024-01-26,0.1108112822506663,0.1052735298871994,3.066670123908326e-05,0.005537752363466902,-1.1985898053052915
5day,^GSPC,GARCHGRU,2024-01-29,0.1106611071317611,0.100983552634716,9.365506104327766e-05,0.00967755449704509,-1.1969646434041383
5day,^GSPC,GARCHGRU,2024-01-30,0.1106430438570442,0.1028013452887535,6.149223643593242e-05,0.0078416985682907,-1.1986767233398736
5day,^GSPC,GARCHGRU,2024-01-31,0.1049382014695912,0.115689605474472,0.00011559268807616713,0.01075140400488081,-1.249777678436517
5day,^GSPC,GARCHGRU,2024-02-01,0.1043134069154574,0.115639179944992,0.0001282731347165332,0.011325773029534594,-1.2552210737342562
5day,^GSPC,GARCHGRU,2024-02-02,0.1043434169095067,0.1132612973451614,7.952859146463279e-05,0.008917880435654696,-1.2567949904010476
5day,^GSPC,GARCHGRU,2024-02-05,0.1044411772894224,0.1180082485079765,0.00018406542144931918,0.013567071218554105,-1.2519678976644522
5day,^GSPC,GARCHGRU,2024-02-06,0.1176523166101521,0.1166024059057235,1.1023124872737588e-06,0.0010499107044286,-1.1399811772605253
5day,^GSPC,GARCHGRU,2024-02-07,0.1205051084055118,0.1188372373580932,2.7817938308172115e-06,0.0016678710474185982,-1.1159655559974864
5day,^GSPC,GARCHGRU,2024-02-08,0.1193608564018154,0.1215693801641464,4.8775772087806484e-06,0.002208523762330994,-1.1254369255496175
5day,^GSPC,GARCHGRU,2024-02-09,0.118726938807577,0.1208388656377792,4.460234936127907e-06,0.0021119268302021987,-1.1307745247744878
5day,^GSPC,GARCHGRU,2024-02-12,0.116853972030322,0.1210313662886619,1.7450622789611214e-05,0.004177394258339906,-1.1462205137809471
5day,^GSPC,GARCHGRU,2024-02-13,0.1141302234810956,0.1316327303647995,0.0003063377472141025,0.017502506883703903,-1.1607042829267797
